STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,INTPTLAT10,INTPTLON10,State,COUNTY,HH_COUNT,OHU_OWN,OHU_RENT,PERC_OWN,PERC_RENT,MHI,MED_VAL,HOUSINGCOS,MCR_ANNUAL,MSMOC_TOT_,TAX_RET,Avg_TransC,REtaxperow,DISP_INC,energy_cos,REtax_ACS,AVG_TTL,LOCALNAME,Shape_Area,ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,state_2,county_2,ST_FIPS,CTY_FIPS,URL,shape_ar_1,SHAPE_LEN
36,081,054200,36081054200,+40.7190754,-073.7464909,New York,Queens County,1414,1255,166,0.88318085855,0.11681914145,78074.00000000000,446400.00000000000,24769.43560000000,15708.00000000000,25968.00000000000,2040.75734494000,8402.48002800000,1278.25380470000,35883.91460710000,2662.34096988000,2446,6355.82879501000,Queens Village,0.00005772457,11427,0,Queens Village,21942.00000000,39435767.41730420,NY,Queens,36,081,http://www.usps.com/,0.000000000000000,0.00000000000
36,081,054500,36081054500,+40.7055404,-073.9126439,New York,Queens County,1214,135,1182,0.10250569476,0.89749430524,41801.00000000000,572100.00000000000,12476.58310000000,11340.00000000000,22428.00000000000,1808.08893443000,4498.70722200000,5412.11540963000,19239.73052040000,1874.90276532000,2522,3711.07639225000,Ridgewood,0.00001218416,11237,0,Brooklyn,49335.00000000,27425868.17131330,NY,Kings,36,047,http://www.usps.com/,0.000000000000000,0.00000000000
36,081,054500,36081054500,+40.7055404,-073.9126439,New York,Queens County,1214,135,1182,0.10250569476,0.89749430524,41801.00000000000,572100.00000000000,12476.58310000000,11340.00000000000,22428.00000000000,1808.08893443000,4498.70722200000,5412.11540963000,19239.73052040000,1874.90276532000,2522,3711.07639225000,Ridgewood,0.00001218416,11385,0,Ridgewood,98436.00000000,124786310.90785700,NY,Queens,36,081,http://www.usps.com/,0.000000000000000,0.00000000000
36,081,054700,36081054700,+40.7036335,-073.9097208,New York,Queens County,1367,170,1082,0.13578274760,0.8642172524,44823.00000000000,475500.00000000000,14213.92330000000,12156.00000000000,27312.00000000000,1524.17414307000,4823.94090600000,3622.98634882000,19756.68809870000,2049.07932780000,3080,3979.36836750000,Ridgewood,0.00001392193,11237,0,Brooklyn,49335.00000000,27425868.17131330,NY,Kings,36,047,http://www.usps.com/,0.000000000000000,0.00000000000
36,081,054700,36081054700,+40.7036335,-073.9097208,New York,Queens County,1367,170,1082,0.13578274760,0.8642172524,44823.00000000000,475500.00000000000,14213.92330000000,12156.00000000000,27312.00000000000,1524.17414307000,4823.94090600000,3622.98634882000,19756.68809870000,2049.07932780000,3080,3979.36836750000,Ridgewood,0.00001392193,11385,0,Ridgewood,98436.00000000,124786310.90785700,NY,Queens,36,081,http://www.usps.com/,0.000000000000000,0.00000000000
36,081,034700,36081034700,+40.7669013,-073.8786315,New York,Queens County,953,574,421,0.57688442211,0.42311557789,60394.00000000000,551300.00000000000,24027.91960000000,13644.00000000000,31644.00000000000,1818.73121870000,6499.72306800000,1495.63858955000,22902.60378480000,2191.75503492000,3161,4771.99851223000,Jackson Heights,0.00004089040,11369,0,East Elmhurst,38116.00000000,30060493.24637420,NY,Queens,36,081,http://www.usps.com/,0.000000000000000,0.00000000000
36,081,034700,36081034700,+40.7669013,-073.8786315,New York,Queens County,953,574,421,0.57688442211,0.42311557789,60394.00000000000,551300.00000000000,24027.91960000000,13644.00000000000,31644.00000000000,1818.73121870000,6499.72306800000,1495.63858955000,22902.60378480000,2191.75503492000,3161,4771.99851223000,Jackson Heights,0.00004089040,11370,0,East Elmhurst,40591.00000000,23600231.48803050,NY,Queens,36,081,http://www.usps.com/,0.000000000000000,0.00000000000
36,081,034700,36081034700,+40.7669013,-073.8786315,New York,Queens County,953,574,421,0.57688442211,0.42311557789,60394.00000000000,551300.00000000000,24027.91960000000,13644.00000000000,31644.00000000000,1818.73121870000,6499.72306800000,1495.63858955000,22902.60378480000,2191.75503492000,3161,4771.99851223000,Jackson Heights,0.00004089040,11371,0,Flushing,0.00000000,30558474.90783860,NY,Queens,36,081,http://www.usps.com/,0.000000000000000,0.00000000000
36,081,035100,36081035100,+40.7590997,-073.8770465,New York,Queens County,1520,893,424,0.67805618831,0.32194381169,58059.00000000000,234900.00000000000,13995.86330000000,14004.00000000000,13992.00000000000,2501.27659686000,6248.42569800000,1316.04049015000,31316.29046960000,1864.52842248000,2714,4633.89210996000,Jackson Heights,0.00001484913,11369,0,East Elmhurst,38116.00000000,30060493.24637420,NY,Queens,36,081,http://www.usps.com/,0.000000000000000,0.00000000000
36,081,035200,36081035200,+40.6794884,-073.7576222,New York,Queens County,739,704,103,0.87236679058,0.12763320942,66113.00000000000,394900.00000000000,21963.06320000000,13536.00000000000,23196.00000000000,1009.32029024000,7115.21328600000,991.38573139200,29150.70967530000,2650.34273400000,1788,5233.67110466000,Springfield Gardens,0.00006472877,11412,0,Saint Albans,35019.00000000,45842752.22607300,NY,Queens,36,081,http://www.usps.com/,0.000000000000000,0.00000000000
36,081,035200,36081035200,+40.6794884,-073.7576222,New York,Queens County,739,704,103,0.87236679058,0.12763320942,66113.00000000000,394900.00000000000,21963.06320000000,13536.00000000000,23196.00000000000,1009.32029024000,7115.21328600000,991.38573139200,29150.70967530000,2650.34273400000,1788,5233.67110466000,Springfield Gardens,0.00006472877,11434,0,Jamaica,57989.00000000,87379704.15784140,NY,Queens,36,081,http://www.usps.com/,0.000000000000000,0.00000000000
36,081,035200,36081035200,+40.6794884,-073.7576222,New York,Queens County,739,704,103,0.87236679058,0.12763320942,66113.00000000000,394900.00000000000,21963.06320000000,13536.00000000000,23196.00000000000,1009.32029024000,7115.21328600000,991.38573139200,29150.70967530000,2650.34273400000,1788,5233.67110466000,Springfield Gardens,0.00006472877,11413,0,Springfield Gardens,39349.00000000,86208498.58906820,NY,Queens,36,081,http://www.usps.com/,0.000000000000000,0.00000000000
36,081,035300,36081035300,+40.7596120,-073.8741249,New York,Queens County,750,278,389,0.41679160420,0.5832083958,57899.00000000000,524300.00000000000,15479.73010000000,13044.00000000000,18888.00000000000,1026.97976989000,6231.20617800000,1739.30237050000,29404.74607830000,2182.85104440000,2401,4600.46659933000,Jackson Heights,0.00001654172,11369,0,East Elmhurst,38116.00000000,30060493.24637420,NY,Queens,36,081,http://www.usps.com/,0.000000000000000,0.00000000000
